objectId,coord_ra,coord_dec,g_cModelFlux,r_cModelFlux,i_cModelFlux,z_cModelFlux,y_cModelFlux,u_cModelFlux,shape_xx,shape_xy,shape_yy,refExtendedness,g_mag,r_mag,i_mag,z_mag,y_mag,u_mag,u_g,g_r
614438364963160603,95.17379556489911,-24.579543327698865,3617.8701171875,6503.58984375,9565.8701171875,8919.0302734375,12873.7001953125,512.3170166015625,11.675800323486328,-0.33251500129699707,11.458100318908691,1.0,22.503868103027344,21.867116928100586,21.44818878173828,21.52420425415039,21.12574005126953,24.62615203857422,2.122283935546875,0.6367511749267578
614438364963160446,95.20298354544954,-24.582949210255368,208.78799438476562,433.9070129394531,656.7769775390625,1018.6400146484375,5418.47021484375,52.082401275634766,41.50809860229492,-48.24879837036133,62.679100036621094,1.0,25.60073471069336,24.806507110595703,24.356454849243164,23.879947662353516,22.0653076171875,27.108272552490234,1.507537841796875,0.7942276000976562
614438364963160445,95.20120417007932,-24.5822309387428,77.83699798583984,163.5800018310547,106.02200317382812,31.355899810791016,3606.489990234375,11.734000205993652,,,,1.0,26.672035217285156,25.865673065185547,26.336509704589844,27.65920066833496,22.507287979125977,28.72638511657715,2.054349899291992,0.8063621520996094
614438364963160552,95.152990136521,-24.576962976634345,162.54200744628906,295.6050109863281,930.7880249023438,532.2509765625,629.9849853515625,37.829898834228516,13.210599899291992,0.47132399678230286,10.276300430297852,1.0,25.87258529663086,25.223220825195312,23.97787094116211,24.58470916748047,24.401674270629883,27.455411911010742,1.5828266143798828,0.6493644714355469
614438364963160525,95.19351372806143,-24.58219347169994,3688.14990234375,7300.16015625,9531.0400390625,10744.599609375,13817.099609375,1022.780029296875,4.332459926605225,-0.10943499952554703,3.8628299236297607,1.0,22.48297882080078,21.741668701171875,21.4521484375,21.322023391723633,21.04895782470703,23.87554359436035,1.3925647735595703,0.7413101196289062
614438364963163385,95.23339021934508,-24.585342624286515,221.61599731445312,472.9360046386719,374.25799560546875,497.6180114746094,1207.239990234375,72.9384994506836,6.392210006713867,0.023326199501752853,6.967470169067383,1.0,25.535995483398438,24.712993621826172,24.967071533203125,24.657760620117188,23.695514678955078,26.74260711669922,1.2066116333007812,0.8230018615722656
614438364963163368,95.1386653371389,-24.590838690592314,109.9209976196289,177.9530029296875,186.53599548339844,120.89800262451172,1208.030029296875,17.186599731445312,,,,1.0,26.297298431396484,25.77423667907715,25.72309112548828,26.193950653076172,23.694805145263672,28.31202507019043,2.0147266387939453,0.5230617523193359
614438364963163150,95.25072075693849,-24.64313608045091,226.02000427246094,374.1300048828125,618.4669799804688,259.9159851074219,797.9320068359375,10.156800270080566,11.062000274658203,-2.8861100673675537,10.668100357055664,1.0,25.514633178710938,24.967443466186523,24.421707153320312,25.362916946411133,24.145084381103516,28.883108139038086,3.3684749603271484,0.5471897125244141
614438364963163223,95.22517183176906,-24.627788219291652,186.10699462890625,398.24700927734375,370.239013671875,460.2439880371094,1665.22998046875,59.748600006103516,16.329999923706055,1.054669976234436,6.601079940795898,1.0,25.7255916595459,24.89961814880371,24.97879409790039,24.742528915405273,23.3463134765625,26.95918083190918,1.2335891723632812,0.8259735107421875
614438364963163502,95.17420493377567,-24.55593706215946,158.64599609375,318.8869934082031,70.63960266113281,567.7319946289062,1987.02001953125,49.390201568603516,7.274750232696533,4.283820152282715,8.462590217590332,1.0,25.89892578125,25.140907287597656,26.77737808227539,24.51464080810547,23.154495239257812,27.165897369384766,1.2669715881347656,0.7580184936523438
614438433682621743,94.95769118721361,-24.658644738709413,1559.199951171875,2783.669921875,3070.64990234375,4041.860107421875,5730.56982421875,427.1730041503906,9.265740394592285,1.6889699697494507,7.046170234680176,1.0,23.41774559020996,22.788455963134766,22.681922912597656,22.383544921875,22.004505157470703,24.823490142822266,1.4057445526123047,0.6292896270751953
614438433682621847,95.00865038046943,-24.653935924690966,320.48199462890625,613.3049926757812,802.8350219726562,897.625,55.69559860229492,23.580400466918945,13.461999893188477,4.59128999710083,4.782780170440674,1.0,25.13549041748047,24.430809020996094,24.1384334564209,24.017261505126953,27.03544807434082,27.9686222076416,2.833131790161133,0.704681396484375
614438433682621841,95.07434504270292,-24.654560752986303,290.8550109863281,486.3909912109375,500.99200439453125,837.0900268554688,693.322021484375,19.66830062866211,7.542880058288574,-1.4039299488067627,6.229949951171875,1.0,25.240808486938477,24.682537078857422,24.650423049926758,24.093069076538086,24.29766273498535,28.16558265686035,2.924774169921875,0.5582714080810547
614438433682621648,95.10047172271719,-24.66444309718972,487.2309875488281,934.510986328125,1306.1600341796875,1513.219970703125,2054.080078125,20.01889991760254,4.630270004272461,2.482840061187744,7.6280198097229,1.0,24.680662155151367,23.97353744506836,23.610008239746094,23.450244903564453,23.11845588684082,28.146398544311523,3.4657363891601562,0.7071247100830078
614438433682621961,95.10670000370916,-24.649321679978577,124.1050033569336,214.23800659179688,489.86700439453125,531.8460083007812,706.6079711914062,13.234299659729004,2.73334002494812,-0.3248229920864105,3.969399929046631,1.0,26.165525436401367,25.572757720947266,24.6748046875,24.585535049438477,24.277053833007812,28.595746994018555,2.4302215576171875,0.5927677154541016
614438433682621136,94.98963375647662,-24.69002920276238,178.1790008544922,354.6820068359375,548.9810180664062,905.7529907226562,934.1339721679688,23.649999618530273,6.012879848480225,-0.037342000752687454,11.029199600219727,1.0,25.772857666015625,25.025402069091797,24.551105499267578,24.007474899291992,23.973976135253906,27.965421676635742,2.192564010620117,0.7474555969238281
614438433682621130,94.96191127627695,-24.689962447862623,241.88499450683594,437.99798583984375,498.9419860839844,454.8280029296875,641.593994140625,40.18349838256836,6.170219898223877,0.5488619804382324,6.100769996643066,1.0,25.440977096557617,24.79631996154785,24.654874801635742,24.755382537841797,24.38184928894043,27.38987922668457,1.9489021301269531,0.6446571350097656
614438433682621074,95.07082632121042,-24.693566537314542,239.7969970703125,432.97198486328125,681.9439697265625,274.9079895019531,322.7359924316406,70.8124008178711,3.1492700576782227,-0.3257479965686798,3.649930000305176,1.0,25.450389862060547,24.808849334716797,24.315628051757812,25.302030563354492,25.127880096435547,26.77472686767578,1.3243370056152344,0.64154052734375
614438364963161839,95.16617090868856,-24.550037350072127,801.60498046875,1533.3599853515625,2074.56005859375,3226.0400390625,10315.2998046875,262.72900390625,7.2247700691223145,4.257180213928223,9.213159561157227,1.0,24.140098571777344,23.435888290405273,23.107685089111328,22.628324508666992,21.366294860839844,25.351228713989258,1.211130142211914,0.7042102813720703
614438364963161836,95.16936133725834,-24.550237829723905,4758.9599609375,8400.1201171875,10544.599609375,11738.900390625,19346.19921875,1687.449951171875,125.11599731445312,-18.170799255371094,39.05459976196289,1.0,22.206218719482422,21.58928680419922,21.342424392700195,21.225929260253906,20.683509826660156,23.33192253112793,1.1257038116455078,0.6169319152832031
614438364963161829,95.17496642423423,-24.548970487016298,2068.010009765625,4409.7900390625,5201.330078125,6640.06982421875,4825.580078125,440.91400146484375,5.824520111083984,0.31523698568344116,6.757599830627441,1.0,23.11111831665039,22.288955688476562,22.10971450805664,21.844566345214844,22.191125869750977,24.78911590576172,1.6779975891113281,0.8221626281738281
614438364963162999,95.23159655569913,-24.675045247095408,404.343994140625,867.4949951171875,185.281005859375,963.2169799804688,1857.530029296875,92.57659912109375,11.702799797058105,-6.09689998626709,14.108200073242188,1.0,24.883121490478516,24.054332733154297,25.730422973632812,23.940689086914062,23.2276611328125,26.483745574951172,1.6006240844726562,0.8287887573242188
614438364963163095,95.22619259137166,-24.654392410874838,1204.1099853515625,2560.030029296875,5836.2099609375,3930.9599609375,13928.900390625,111.15499877929688,5.987810134887695,1.1520500183105469,25.41939926147461,1.0,23.698333740234375,22.87938690185547,21.98467254638672,22.413753509521484,21.040206909179688,26.28517723083496,2.586843490600586,0.8189468383789062
614438364963161993,95.14603764493974,-24.545268473904976,1927.3299560546875,4206.56005859375,4048.2900390625,10156.0,24496.19921875,607.47900390625,89.0343017578125,-51.54899978637695,63.459999084472656,1.0,23.18760871887207,22.340181350708008,22.381820678710938,21.38319206237793,20.4272518157959,24.441171646118164,1.2535629272460938,0.8474273681640625
614438433682632223,95.07881171694443,-24.64493125315049,148919.0,291886.0,456678.0,577572.0,797932.0,52210.3984375,79.33419799804688,-12.651700019836426,122.30599975585938,1.0,18.46762466430664,17.73696517944336,17.250972747802734,16.995983123779297,16.645084381103516,19.605606079101562,1.1379814147949219,0.7306594848632812
614438433682632046,95.05340295468966,-24.654817747006014,594.0850219726562,1088.77001953125,1486.0999755859375,1567.0699462890625,23644.0,166.7760009765625,31.625600814819336,-7.443039894104004,8.017370223999023,1.0,24.465377807617188,23.807659149169922,23.469879150390625,23.412277221679688,20.465696334838867,25.84466552734375,1.3792877197265625,0.6577186584472656
614438433682632016,95.11123421506159,-24.652510820097852,363.97698974609375,773.4290161132812,2135.080078125,3841.889892578125,3729.510009765625,34.597999572753906,28.6830997467041,9.177689552307129,12.866100311279297,1.0,24.997314453125,24.17894744873047,23.07646369934082,22.438636779785156,22.470870971679688,27.552371978759766,2.5550575256347656,0.8183670043945312
614438433682632162,95.0249778247817,-24.651385576025646,818.7930297851562,1691.1700439453125,2671.260009765625,3187.89990234375,2403.469970703125,261.5400085449219,10.869099617004395,-1.9715100526809692,12.106300354003906,1.0,24.117063522338867,23.329532623291016,22.833209991455078,22.641237258911133,22.94790267944336,25.356155395507812,1.2390918731689453,0.7875308990478516
614438433682632174,94.94319313860571,-24.652162064131502,228.468994140625,450.4580078125,510.24200439453125,658.77197265625,379.1340026855469,40.4098014831543,6.5613298416137695,0.7147390246391296,4.712409973144531,1.0,25.502931594848633,24.7658634185791,24.630558013916016,24.353160858154297,24.953018188476562,27.38378143310547,1.880849838256836,0.7370681762695312
614438433682632056,94.98821969428764,-24.653067209236166,62.7052001953125,135.46299743652344,343.9630126953125,888.9569702148438,2848.320068359375,11.65820026397705,2.384239912033081,1.2544499635696411,6.927000045776367,1.0,26.906740188598633,26.07044792175293,25.058719635009766,24.02779769897461,22.763526916503906,28.733421325683594,1.826681137084961,0.8362922668457031
614438433682632537,95.011033133908,-24.63221751634005,1762.260009765625,3739.669921875,4943.97998046875,5707.3701171875,7520.85009765625,182.05599975585938,3.7408699989318848,-0.39759698510169983,3.869189977645874,1.0,23.28482437133789,22.46791648864746,22.164806365966797,22.008909225463867,21.709331512451172,25.749486923217773,2.464662551879883,0.8169078826904297
614438433682632330,95.07318220336006,-24.644161821219218,490.8210144042969,979.60498046875,1022.5700073242188,1352.1500244140625,428.4779968261719,147.51499938964844,4.13709020614624,-0.4575139880180359,4.380519866943359,1.0,24.672691345214844,23.92237091064453,23.87576675415039,23.572437286376953,24.820178985595703,25.977909088134766,1.3052177429199219,0.7503204345703125
